id,algo,status,note,train_mean_return,heldout_mean_return,ent_coef,gae_lambda,gamma,generalisation_gap,heldout_frac_crop_failure,heldout_frac_harvested,heldout_frac_insolvency,heldout_frac_truncated,heldout_max_return,heldout_mean_length,heldout_min_return,heldout_n_episodes,heldout_std_return,lr,max_grad_norm,n_envs,n_steps,net_arch,seed,timesteps,train_frac_crop_failure,train_frac_harvested,train_frac_insolvency,train_frac_truncated,train_max_return,train_mean_length,train_min_return,train_n_episodes,train_std_return,use_rms_prop,vf_coef,wall_s,batch_size,buffer_size,exploration_final_eps,exploration_fraction,learning_starts,target_update_interval,train_freq,clip_range,n_epochs,baseline,episodes_per_update,normalise_advantage
a2c-01,a2c,ok,SB3 default baseline,-47.49217593906969,-45.69245666871516,0.0,0.95,0.99,-1.7997192703545295,0.03,0.0,0.97,0.0,-35.91560697900735,42.42,-52.46426194479664,100.0,3.72247582584345,0.0007,0.5,8,5,"[256, 256]",0,400000,0.0,0.0,1.0,0.0,-40.34321705137036,41.53333333333333,-52.634021675269075,30.0,3.3595034775321597,True,0.5,123.7,,,,,,,,,,,,
a2c-02,a2c,ok,lower lr,-47.49217593906969,-45.69245666871516,0.0,0.95,0.99,-1.7997192703545295,0.03,0.0,0.97,0.0,-35.91560697900735,42.42,-52.46426194479664,100.0,3.72247582584345,0.0003,0.5,8,5,"[256, 256]",0,400000,0.0,0.0,1.0,0.0,-40.34321705137036,41.53333333333333,-52.634021675269075,30.0,3.3595034775321597,True,0.5,123.0,,,,,,,,,,,,
a2c-03,a2c,ok,higher lr,-47.49217593906969,-45.69245666871516,0.0,0.95,0.99,-1.7997192703545295,0.03,0.0,0.97,0.0,-35.91560697900735,42.42,-52.46426194479664,100.0,3.72247582584345,0.001,0.5,8,5,"[256, 256]",0,400000,0.0,0.0,1.0,0.0,-40.34321705137036,41.53333333333333,-52.634021675269075,30.0,3.3595034775321597,True,0.5,122.6,,,,,,,,,,,,
a2c-04,a2c,ok,"longer rollout, less biased returns",21.874161147394684,23.092723089657152,0.0,0.95,0.99,-1.2185619422624683,0.06,0.77,0.0,0.17,108.45510443539942,77.63,-80.726835747546,100.0,40.459219422062965,0.0007,0.5,8,16,"[256, 256]",0,400000,0.0,0.8,0.0,0.2,87.00560552356859,80.26666666666667,-57.53652827911419,30.0,32.606630063412034,True,0.5,113.3,,,,,,,,,,,,
a2c-05,a2c,ok,"much longer rollout, approaching PPO",41.21780252816852,45.79285917915699,0.0,0.95,0.99,-4.575056650988472,0.03,0.55,0.05,0.37,104.21608078106587,96.23,-65.88965914263848,100.0,33.95609692351852,0.0007,0.5,8,64,"[256, 256]",0,400000,0.03333333333333333,0.4666666666666667,0.03333333333333333,0.4666666666666667,78.44125494411509,97.73333333333333,-46.0893212632508,30.0,29.481638184288407,True,0.5,109.1,,,,,,,,,,,,
a2c-06,a2c,ok,entropy bonus,45.39359705025528,56.94383825668492,0.01,0.95,0.99,-11.55024120642964,0.09,0.48,0.01,0.42,97.99032236049676,107.1,-67.78565695612984,100.0,38.938832324122,0.0007,0.5,8,16,"[256, 256]",0,400000,0.1,0.3,0.06666666666666667,0.5333333333333333,89.98582555730945,108.1,-54.10474490749384,30.0,41.23077761985224,True,0.5,97.5,,,,,,,,,,,,
a2c-07,a2c,ok,"heavy entropy, expect no commitment",55.2957534539331,55.47483319807101,0.05,0.95,0.99,-0.1790797441379084,0.0,0.97,0.03,0.0,103.76851224667939,90.23,-59.86561746477282,100.0,28.96647400252877,0.0007,0.5,8,16,"[256, 256]",0,400000,0.0,1.0,0.0,0.0,95.93143042230732,90.93333333333334,9.95103401652257,30.0,20.812021354572444,True,0.5,94.8,,,,,,,,,,,,
a2c-08,a2c,ok,weaker critic weighting,17.083902463824124,22.008720628251968,0.01,0.95,0.99,-4.924818164427844,0.03,0.81,0.16,0.0,88.80093934315192,61.36,-69.45592211091542,100.0,43.12581834888002,0.0007,0.5,8,16,"[256, 256]",0,400000,0.03333333333333333,0.8,0.16666666666666666,0.0,66.9797426707626,63.2,-71.58625043584429,30.0,42.633020738643445,True,0.25,88.2,,,,,,,,,,,,
a2c-09,a2c,ok,Adam instead of RMSProp,26.434363319984307,25.366924529424992,0.01,0.95,0.99,1.067438790559315,0.03,0.93,0.04,0.0,55.13032514454035,59.97,-64.96025069518916,100.0,25.30316174678204,0.0007,0.5,8,16,"[256, 256]",0,400000,0.03333333333333333,0.9666666666666667,0.0,0.0,51.000966522718215,61.333333333333336,-50.796882267585495,30.0,18.69717986415896,False,0.5,84.3,,,,,,,,,,,,
a2c-10,a2c,ok,tighter gradient clipping,-4.4634629975791205,0.33813027291114195,0.01,0.95,0.995,-4.801593270490263,0.04,0.79,0.17,0.0,30.92369465045173,57.11,-66.98071676885486,100.0,32.61133936419262,0.0007,0.3,8,16,"[256, 256]",0,400000,0.03333333333333333,0.7666666666666667,0.2,0.0,28.54329129893827,58.63333333333333,-65.90907288690445,30.0,32.7852789470904,False,0.5,84.0,,,,,,,,,,,,
dqn-01,dqn,ok,baseline,51.437412922994504,51.45025822463205,,,0.99,-0.01284530163754738,0.04,0.12,0.0,0.84,86.8769888863828,118.79,-89.78269592850951,100.0,22.48214781039212,0.0001,,,,"[256, 256]",0,400000,0.03333333333333333,0.23333333333333334,0.0,0.7333333333333333,82.44456877280265,119.26666666666667,-24.337432203106168,30.0,20.243143399665392,,,198.5,64,100000,0.05,0.2,10000,1000,4,,,,,
dqn-02,dqn,ok,high lr destabilises the Q target,25.24772376760856,43.71423976132892,,,0.99,-18.46651599372036,0.05,0.0,0.03,0.92,103.24074533838103,118.22,-98.089924353686,100.0,44.90511065542142,0.0005,,,,"[256, 256]",0,400000,0.0,0.0,0.1,0.9,90.96248425796801,117.76666666666667,-89.39110690366876,30.0,48.458675929729324,,,200.6,64,100000,0.05,0.2,10000,1000,4,,,,,
dqn-03,dqn,ok,low lr underfits inside the budget,26.770350299083198,27.35805925215823,,,0.99,-0.5877089530750332,0.09,0.4,0.06,0.45,78.58409294547533,111.49,-78.01471937856631,100.0,35.972110048830494,5e-05,,,,"[256, 256]",0,400000,0.03333333333333333,0.43333333333333335,0.06666666666666667,0.4666666666666667,64.3471607215261,113.8,-53.655634214387355,30.0,29.67259303028824,,,199.7,64,100000,0.05,0.2,10000,1000,4,,,,,
dqn-04,dqn,ok,myopic discount ignores terminal revenue,48.282654285016875,46.349014566707176,,,0.95,1.9336397183096992,0.03,0.97,0.0,0.0,72.41033840622377,72.38,-44.487236211865465,100.0,19.83574930624284,0.0001,,,,"[256, 256]",0,400000,0.0,1.0,0.0,0.0,67.79954639885898,76.16666666666667,31.44565536454946,30.0,10.469644977263858,,,200.6,64,100000,0.05,0.2,10000,1000,4,,,,,
dqn-05,dqn,ok,long horizon credit assignment,16.939715055681948,17.162404980459893,,,0.999,-0.2226899247779457,0.03,0.0,0.0,0.97,56.34070813859448,118.39,-91.14920918817265,100.0,20.66318434125027,0.0001,,,,"[256, 256]",0,400000,0.0,0.0,0.0,1.0,52.451825531707094,120.0,-5.524915294666696,30.0,14.367207966504987,,,200.4,64,100000,0.05,0.2,10000,1000,4,,,,,
dqn-06,dqn,ok,"small buffer, correlated samples",45.882055762904606,50.36317132241559,,,0.99,-4.481115559510982,0.05,0.93,0.01,0.01,81.55199664995489,99.63,-70.11658489131894,100.0,26.140422860016976,0.0001,,,,"[256, 256]",0,400000,0.0,0.9,0.06666666666666667,0.03333333333333333,75.30546788469714,98.5,-39.45979043991502,30.0,24.741207432209965,,,199.2,64,20000,0.05,0.2,10000,1000,4,,,,,
